product_name,product_link,product_price,product_rating,no_rating,page_no
SKYBAGS Campus Grey Logo Print College Laptop Backpack 30L,https://www.amazon.in/SKYBAGS-Campus-College-Laptop-Backpack/dp/B084258ZD8/ref=sr_1_266?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-266,"1,899.00",4.2,291 ratings,17
Toil Moil Combo 4 Bag Panda Cute Kitty Mickey Red-Spider of Kids Bags for School 10Ltr,https://www.amazon.in/Toil-Moil-Mickey-Red-Spider-School/dp/B0BVMT6F5W/ref=sr_1_269?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-269,374,4.5,5 ratings,17
American Tourister Spin 49 cms Navy Laptop Backpack,https://www.amazon.in/American-Tourister-FS0-41-002/dp/B07S13B1HR/ref=sr_1_272?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-272,"1,400",4.1,"1,168 ratings",17
Tommy Hilfiger Zander Unisex Polyester 15 Inch Laptop Backpack Red + Black,https://www.amazon.in/Tommy-Hilfiger-Zander-Polyester-Backpack/dp/B0BBQGW74Q/ref=sr_1_273?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-273,"2,589",3.5,2 ratings,17
"URBAN CARRIER Unisex Waterproof Medium Laptop Backpack for School and Colleges (Grey, Large, 45 Liters)",https://www.amazon.in/Backpack-Colleges-Luggage-Waterproof-Stylish/dp/B09GYGCK54/ref=sr_1_274?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-274,559,3.9,258 ratings,17
F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),https://www.amazon.in/Gear-Colorado-Navy-Laptop-Backpack/dp/B097K6SPH7/ref=sr_1_275?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-275,999,4.2,100 ratings,17
Tommy Hilfiger Emanuel Unisex Polyester 15 Inch Laptop Backpack Navy,https://www.amazon.in/Tommy-Hilfiger-Emanuel-Polyester-Backpack/dp/B0BDSGTJX3/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-276,"1,850",4.6,3 ratings,18
high power 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,https://www.amazon.in/high-power-Backpack-Rucksack-Computer/dp/B0BKGTW32W/ref=sr_1_278?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-278,625,3.1,25 ratings,18
"ASUS EOS 2 Carry Bag (Black), 2-Tone Tear-Resistant & Water-Repellent 600D Polyster Bag, Messenger bag with luggage & detachable shoulder strap, Suitable for up to 39.62 cm (15.6-inch) Laptop",https://www.amazon.in/ASUS-Tear-Resistant-Water-Repellent-Messenger-detachable/dp/B0BWYQN4QS/ref=sr_1_280?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-280,899,0,0,18
"NISUN Stylish Nylon 7 Zipper Multi Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag For Men Women (Black & Grey,21x27x10.5 cm)",https://www.amazon.in/NISUN-Zipper-Sling-Black-Grey/dp/B09BZNTFLX/ref=sr_1_281?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-281,598,4,341 ratings,18
American Tourister Harp Wheel Duffle Trolley 62 CM Grey,https://www.amazon.in/American-Tourister-Wheel-Duffle-Trolley/dp/B0BTHMMM38/ref=sr_1_282?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-282,"1,799.00",4.4,5 ratings,18
PUMA Laptop Backpack IND II Black-CASTLEROCK,https://www.amazon.in/PUMA-Laptop-Backpack-IND-Black-CASTLEROCK/dp/B08BV2S9K1/ref=sr_1_285?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-285,"1,349.00",4,72 ratings,18
HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- All) (Grey & Red),https://www.amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N53TWB/ref=sr_1_286?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-286,"1,599.00",4.2,"3,797 ratings",18
F Gear Sedna 27 Liters Laptop Backpack Sch Bag(Brown),https://www.amazon.in/F-Gear-Sedna-Laptop-Backpack-Brown/dp/B072N83D9M/ref=sr_1_287?crid=2M096C61O4MLT&keywords=bags&qid=1685048377&sprefix=ba%2Caps%2C283&sr=8-287,"1,249.00",4.2,168 ratings,18
